Germany,France,2013,,18,?,Ocean Master,maritime patrol aircraft radar,18,?,2019;2021;2022,New,For 18 NH-90 anti-submarine helicopters produced in Germany,2.5,45,45;;;;;;;;;;;;
Germany,France,2010,,6,,Ground Master-400,air-search radar,4,?,2014;2015,New,EUR100 m 'ARED' programme;GM-406F version;incl production of components in Germany,13,78,52;;;;;;;;;;;
Ghana,France,2014,?,2,?,Sherpa,armoured personnel carrier,2,,2014,New,Designation uncertain,0.25,0.5,0.5;;;;;;;;;;;;;;
Greece,France,2021,,7,?,FLASH,anti-submarine sonar,3,?,2022,New,ASQ-22 ALFS version for 7 MH-60R anti-submarine helicopters from USA;from production line in USA,2,14,6;;;;;;;;;;;;;
Greece,France,2008,?,60,?,MM-40-3 Exocet,anti-ship/land-attack missile,35,?,2014;2015;2016;2017;2018;2019;2020,New,For Super Vita (Roussen) FAC,1,60,35;;;;;;;;
Greece,France,2021,,12,,Rafale,FGA aircraft,12,?,2021;2022;2023,Second hand but modernized,Second-hand Rafale-C modernized to Rafale F3-R (Rafale-EG) version before delivery (incl 10 Rafale-EG and 2 Rafale-DG versions);part of EUR2.3 b deal,36.3,435.6,435.6;;;;;;;;;;;
Greece,France,2021,,6,,Rafale,FGA aircraft,6,,2022;2023;2024,New,Part of EUR2.3 b deal;Rafale F3-R (Rafale-EG) version,55,330,330;;;;;;;;;;;
Greece,France,2022,,6,,Rafale,FGA aircraft,6,,2024,New,Rafale-EG (Rafale F3-R) version,55,330,330;;;;;;;;;;;;;;
Greece,France,2003,,20,,NH-90 TTH,transport helicopter,10,?,2014;2017;2022;2023;2024,New,EUR546 m deal (originally EUR657 m but reduced 2010 as compensation for delayed delivery;offsets 120% incl production of components in Greece).,7,140,70;;;;;;;;;
Greece,France,2021,,18,?,Storm Shadow/SCALP-EG,air-to-surface missile,18,?,2023;2024,New,SCALP version;for Rafale combat aircraft,0.64,11.52,11.52;;;;;;;;;;;;
Guinea,France,2017,,1,,SA-330 Puma,helicopter,1,,2017,Second hand,Second-hand; aid;SA-330B version,2.4,2.4,2.4;;;;;;;;;;;;
Hungary,France,2018,,16,,H725 Caracal,transport helicopter,12,,2023;2024,New,Armed H-225M Caracal version,8,128,96;;;;;;;;;;;;;
