Greece,Germany,2003,,8,,ship engine,ship engine,4,,2015,New,MTU 16V-595 (5800hp) diesel engine for 2 Super Vita (Rousen) missile boats from United Kingdom,1.5,12,6
Greece,Germany,2008,?,70,?,RIM-116A RAM,SAM,70,?,2020; 2022,New,For Super Vita (Rousen) FAC; supplier could be USA,0.14,9.8,9.8
Greece,Germany,2008,?,8,,ship engine,ship engine,8,,2020; 2022,New,MTU 16V-595 TE-90 (5800hp) diesel engine for 2 Super Vita (Roussen) missile boats from United Kingdom,1.5,12,12
Greece,Germany,2003,?,70,?,RIM-116A RAM,SAM,35,?,2015,New,For Super Vita (Roussen) FAC,0.14,9.8,4.9
Greece,Germany,2002,,1,,Type-209/1200,submarine,1,,2014,New,Greek Type-209/1200 (Poseidon) submarine rebuilt to new version; order for 2 more cancelled and replaced by order for 2 new Type-214; delivery delayed several years after disagreement between Greece and producer,110,110,110
Greece,Germany,2000,,3,,Type-214,submarine,2,?,2015,New,Part of EUR1.8 b Archimedes deal (offsets 115%; incl modernization of Greek shipyard for submarine production); produced under licence in Greece; Greek designation Katsonis; delivery delayed several years after disagreement between Greece and producer,275,825,550
Honduras,Germany,2023,,4,,EC145,light helicopter,2,,2024,New,H145M version; for SAR,3.25,13,6.5
Hungary,Germany,2019,,5,,Wisent-2,armoured engineer/recovery vehicle,4,?,2023; 2024,New,Delivery planned 2023-2025,2.5,12.5,10
Hungary,Germany,2018,,44,,Leopard-2A7,tank,33,?,2023; 2024,New,Part of HUF160 b ($565 m) deal; Leopard-2A7HUN (Leopard-2A7+) version; delivery planned 2023-2025,5.2,228.8,171.6
Hungary,Germany,2020,,9,,PSB-2,armoured bridgelayer,6,?,2023; 2024,New,Part of EUR2 b deal; designation uncertain (reported as 'armoured vehicle launched bridges'),1.25,11.25,7.5
Hungary,Germany,2017,?,2,,A319,transport aircraft,2,,2018,Second hand,Second-hand,13.2,26.4,26.4
