Project ff&e Ltd,6,100,0,0,
EIVA A/S,6,100,0,0,
Crown Solicitors Office,6,0,0,100,[note 13]
West Oxfordshire District Council,6,0,0,100,
Holiday Inn Ltd,6,0,0,100,[note 19]
Centreline AV Ltd,6,100,0,0,
AmSafe Bridport Ltd,6,0,100,0,
Nimbus Digital and Technology Innovations Ltd,6,100,0,0,
Vysiion Ltd,6,42,0,58,
Government Communications Bureau,6,0,0,100,[note 13]
Immersive Labs Ltd,6,100,0,0,
Italian Government,6,0,0,100,[note 15]
US Department of Defense,6,0,0,100,[note 15] [note 17]
North Kesteven District Council,6,0,0,100,
Anduril Industries Inc.,6,61,39,0,
Rail Settlement Plan Ltd,6,0,0,100,
tlmNexus Ltd,6,98,2,0,
Kingchurch & Associates,6,0,0,100,
Rushmoor Borough Council,6,0,0,100,
The Colleges Partnership Ltd,6,100,0,0,
SMIT International (Scotland) Ltd,6,100,0,0,
Qatar Airways Ltd,6,0,0,100,[note 19]
EBSCO International Inc,6,99,0,1,[note 17]
Rolf Riedl GMBH,6,0,0,100,
Identity Events Management Ltd,6,97,0,3,[note 18]
TQ Education and Training Ltd,6,100,0,0,
Bundeskasse Halle,6,0,0,100,[note 15]
Jane's Group UK Ltd,6,98,2,0,
HM Revenue & Customs,6,0,0,100,[note 13] [note 17]
E.ON Energie Deutschland GMBH,6,0,0,100,
Morson Human Resources Ltd,6,100,0,0,
Nova Aerospace Ltd,6,40,41,19,
SwissP Defence AG,6,0,100,0,
Mainstream Training Ltd,6,100,0,0,
Blue Bear Systems Research Ltd,5,35,22,43,[note 17]
Government of Gibraltar,5,0,0,100,[note 15]
Roselead Ltd,5,100,0,0,
Kongsberg Discovery AS,5,0,100,0,
Catalyze Ltd,5,79,21,0,
Home Office,5,0,0,100,[note 13] [note 17]
Land & Property Services,5,0,0,100,
Babcock Training Ltd,5,100,0,0,
Veolia ES (UK) Ltd,5,100,0,0,
L Jackson & Co Ltd,5,12,88,0,
Somerset Council,5,0,0,100,[note 18]
Health Care Resourcing Group Ltd,5,100,0,0,
BAE Systems Information and Electronic Systems Integration Inc,5,2,98,0,
Annington Property Ltd,5,0,0,100,
Viking Arms Ltd,5,35,60,5,[note 17]
Vale of White Horse District Council,5,0,0,100,[note 17]
L3Harris MAPPS Ltd,5,14,86,0,
RA International FZCO,5,100,0,0,
Trant Engineering Ltd,5,100,0,0,
LCC Power Ltd,5,100,0,0,
NSSLGlobal Ltd,5,75,25,0,[note 17]
