Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
Saudi Arabia,United Kingdom,2007,,21,?,EJ-200,turbofan,10,?,2014;2015;2016;2017,New,Spares for Typhoon combat aircraft,2.5,52.5,25;;;;;;
Saudi Arabia,United Kingdom,2013,,2400,?,Paveway,guided bomb,2400,?,2015,New,GBP150 m ($250 m) deal;Paveway-4 version;for Typhoon and modernized Tornado combat aircraft,0.02,48,48;;;;;;;
Saudi Arabia,United Kingdom,2020,,180,?,LMM Martlet,anti-ship missile/ASM/SAM,180,?,2021;2022,New,For RapidRanger SAM systems,0.1,18,18;;;;;;;;
Saudi Arabia,United Kingdom,2007,,24,,Typhoon Block-20,FGA aircraft,24,,2015;2016;2017,New,Part of GBP4.4 b deal (part of up to GBP20 b 'Project Salam');Typhoon Block-25C (Tranche-3A) version,57.5,1380,1380;;;;;;
Singapore,United Kingdom,2014,,12,,Trent-700,turbofan,12,,2018;2019;2020,New,Trent-772B version for 6 A-330 MRTT tanker/transport aircraft from France,6,72,72;;;;;;;
Singapore,United Kingdom,2014,,6,,air refuel system,air refuel system,6,,2018;2019;2020,New,For 6 A-330 MRTT tanker/transport aircraft from France,10,60,60;;;;;;;
South Africa,United Kingdom,2014,,20,?,Starstreak,SAM,20,,2015,New,,0.09,1.8,1.8;;;;;;;;;
South Korea,United Kingdom,2013,,8,,AW-159 Wildcat,anti-submarine helicopter,8,,2016,New,,14,112,112;;;;;;;;;
South Korea,United Kingdom,2018,?,4,,MT-30,gas turbine,4,,2023,New,For 4 FFX-2 (Daegu) frigates produced in South Korea,12,48,48;;;;;;;;;
South Korea,United Kingdom,2020,,6,?,MT-30,gas turbine,1,,2024,New,For 6 Ulsan Batch-3 (FFX-3) frigates produced in South Korea,12,72,12;;;;;;;;;
South Korea,United Kingdom,2017,,3,,MT-30,gas turbine,3,,2021,New,For 3 FFX-2 (Daegu) frigates produced in South Korea,12,36,36;;;;;;;;;
South Korea,United Kingdom,2012,,1,,MT-30,gas turbine,1,,2018,New,For 1 FFX-2 (Daegu) frigate produced in South Korea,12,12,12;;;;;;;;;
